Key,en_us,zh_cn-old,zh_cn
info_book.evilcraft.first_age.new_world.biome_extract.text1,"Our world is made up of &1Biomes&0, many different variantions exist. Unfortunately, we can not choose the location of these &1Biomes&0, or at least not always.",我们的世界由许多不同的&1生物群系&0组成，不幸的是我们不能选择它们所在的位置，至少以前不能。,我们的世界由许多不同的&1生物群系&0组成。不幸的是，我们不能选择&1群系&0所在的位置，至少以前不能。
info_book.evilcraft.first_age.new_world.biome_extract.text2,One of the abilities of the &1Environmental Accumulator&0 is that it can accept special &1Biome Extract Bottles&0 which it can fill with the &1Biome&0 the machine is currently placed in. These bottles can be thrown anywhere on the ground to transform that area to the given biome.,&1环境存储器&0的其中一个能力就是将它所在的&1生物群系&0装入特殊的&1群系要素空瓶&0中，这些&1群系要素瓶&0会将目标区域转换为所含的&1生物群系&0。,&1环境蓄积器&0的功能之一，便是将机器当前所处位置的&1生物群系&0装入特殊的&1群系要素空瓶&0中。这些要素瓶可以投掷，会将目标区域转换为所含的&1生物群系&0。
info_book.evilcraft.first_age.new_world.biome_extract.text3,"One major disadvantage of the &1Environmental Accumulator&0 is that it will degrade its biome over time, so the bottles coming out of it will become pretty useless. If only there was an alternative way to craft these &1Biome Extracts&0 without bad effects...",环境存储器的最大缺点就是会随时间推移“退化”周围的&1生物群系&0，这之后产生的群系要素瓶就没有作用了。除非找到一种制造&1群系要素瓶&0而没有这种不良效果的工艺……,&1环境蓄积器&0的最大缺点就是会随时间推移“退化”周围的生物群系，这之后产生的群系要素瓶就没有作用了。要是有另一种没有不良效果的&1群系要素瓶&0制作方法就好了……
info_book.evilcraft.first_age.new_world.libelle.text,"It seems that there are some new creatures in this world. This creature appears to be a pretty large type of dragonfly. During the day time it is a rather peaceful creature, but do not be fooled, for if you would venture too close in proximity of this insect, it will try to poison you as though it being some kind of self defense. At night however, this beasty becomes subdued by an ancient evil and kills everything in its path. I deem myself lucky they have no other weapons besides actively looking me up at night to come and poison me. I managed to kill quite a few of these annoying things and carved some interesting poison sacs from their bodies. I have thrown them in a &1Bucket of Water&0 and the water really absorbs the poison well when I throw in four of these. I have long done the same with &lPoisonous Potato’s&r as well. It can be useful in a pinch for defending my evil lair... Ehm, I mean house... I named this creature after the dutch word for it’s kind, because I did not want to let it be confused with ordinary dragon flies, for obvious reasons...",似乎这个世界还有一些新生物。这种生物好像是大号的蜻蜓。在白天的时候是一种相当和平的生物，但是不要被它的表象欺骗，如果你靠得太近，它就会叮咬你，这似乎是它们的一种自卫方式。而在晚上，这种野兽就会因其骨子里的邪恶而变的狂暴，杀掉它经过的一切生物。我认为至少我是幸运的，它们除了晚上主动来叮咬我再没有其他办法了。我设法杀死了一些这种烦人的生物，从他们的尸体上得到了一些有趣的毒囊。我把它们扔进&1一桶水&0，很快溶解了4份毒囊。我也可以用&l毒马铃薯&r来配制。 他们在关键时候可以保护我的邪恶老巢……呃，我的意思是家……,看来这世界上又出现了一些新生物。这种生物似乎是一种体型相当巨大的蜻蜓。在白天，它是一种相当温和的生物，但别被表象骗了，如果靠得太近，它会试图用毒素攻击你，这似乎是某种自卫方式。然而到了晚上，这种怪物会被某种古老的邪恶力量支配，屠戮沿途所有生命。我觉得自己还算幸运，毕竟它们除了在夜间主动搜寻并用毒液攻击我之外，并无其他武器。我成功杀死了一些这种恼人的生物，并从其体内剖出了一些有趣的毒囊。当把四个毒囊投入&1水桶&0中时，我发现水能有效吸收毒素。之前处理&l毒马铃薯&r时也采用过类似方法。这或许能在关键时刻用来守卫我的邪恶老巢……呃，我是说房子……我特意用荷兰语中对应物种的词汇为其命名（Libelle），毕竟不能让它和普通蜻蜓产生混淆……
info_book.evilcraft.first_age.new_world.werewolf.text,"Whilest I was exploring this world, I have taken rest in many villages. One of the towns I rested in had a strange looking fellow in it. I started talking to him and it soon struck me he was not as interested in emeralds as the other people in his town. In fact he started asking more and more questions about the dark ore I had discovered, we talked away hours and hours. He was so keen about getting his hands on them and other objects I have discovered that we ended up trading things for most of the rest of the day. When night had fallen, he took me to his house in the village and he said I was most welcome to spend the night in his spare bedroom. I said I already rented a room at the local inn but thanked him for his kindness anyway. As I crawled into bed in the inn, I took a last glance at the moon, as I usually do before going to sleep and I saw it was a nice full moon. As I closed my eyes, all of a sudden, I heard a loud distressed shout and after that a wolf-like growl. The whole village was looking through their windows and we saw a tall wolf, walking on its hindlegs. Everyone cowered in fear, but I, without fear nor doubt, took up my trusty dagger and gave it a pretty good beating. It was a very strong creature, his fur will make a nice memento to his great fight...When I woke up the next morning to conclude my trading session of the day before, my strange trading friend had taken a leave. There where claw marks all over his house and there was &4Blood&0 on the floor, I still wonder if the strange wolve ate him... Or if perhaps he was a werewolf, as the villagers gossip on... It looks like I can convert his drops to regular items when just placing them inside a &1Crafting Table&0.",当我在探索这个世界时，我在许多村庄休息过，有个村庄里有个古怪的家伙。我开始和他交谈，他让我很震惊，他不像村庄里的其他人，他对绿宝石并没有兴趣。然而，他却向我追问许多关于我发现的黑色宝石的问题，我们详谈甚欢以至于忘记了时间。他非常渴望马上入手那些我发现的宝石，整个下午都在和我交易。夜幕降临后，他把我带到他家，说非常乐意给我借宿一宿。我说我已经在当地的旅馆租了一间房，并感谢他的好意。当我爬到旅馆的床上时，我最后看了一眼月亮，因为我经常在睡觉前这么做，这是一个美好的满月。当我要闭眼时，突然我听到一声痛苦的喊声，像狼的咆哮。整个村庄的村民都向窗外看去，我们看到的是一个巨大的狼，后腿直立。每个人都在恐惧中颤抖，除了我，没有任何恐惧和犹豫，拿起我的匕首，给了它漂亮的一击。它一个非常强大的生物，它的皮毛将是纪念我伟大战力的很好的纪念品……当我第二天醒来去结算前一天的交易，那个古怪的家伙已经离开了。在他家有爪的抓痕，地板上有&4血迹&0，我在想是不是那个奇怪的狼人生物吃了它……或者也许他就是一个狼人，就像村民们八卦的那样……似乎我可以通过&1工作台&0将狼人骨头转化为骨粉。,在探索世界的过程中，我曾在不少村庄落脚休息。其中某个村庄里，有个形貌古怪的家伙。我与他攀谈，很快发觉他对绿宝石的兴趣远不如镇上其他人。事实上，他开始对我之前发现的那种黑色宝石刨根问底，我们畅谈了数小时之久。他对入手这些宝石以及我发现的其他一些东西如此热切，以至于我们在那天的剩余时间里几乎一直在交易。夜幕降临后，他邀我去他家里下榻。我说我已经在旅馆订过房间里，只能谢过他的好意。爬上旅馆的床，准备入睡前，我像往常一样望了望月亮，发现是一轮皎洁的满月。正当我闭眼之际，突然间，一声凄厉的嚎叫传来，继而是狼一般的低吼。全村人都扒着窗户窥探，映入眼帘的赫然是一匹人立而起的巨狼。众人瑟缩惊惧，只有我毫不迟疑地拿起随身匕首狠狠揍了它一顿。这凶兽着实凶猛，其皮毛权当是这场恶战的纪念……次日清晨，我本想继续昨日的交易，才惊觉那个古怪的贸易伙伴已经离开了。他的房子里遍布着爪痕，地板上还残留着&4血液&0。我至今仍然困惑，到底是那怪狼吞了他……还是像那些村民八卦的那样，他本来就是个狼人……看来只需将这些掉落物放入&1工作台&0，便可将其转化为寻常物品。
info_book.evilcraft.first_age.new_world.nether_fish.text,"Once upon a time while I was visiting hell, I discovered a block of &1Netherrack&0 that was a bit harder to break than normally. But after breaking the block, I noticed a little creature popping out and it started to attack me. It lit me on fire and I took some mild damage, luckily I was able to kill it without much trouble.",有一次，在我参观下界时，我发现一块&1下界岩&0比正常的有点难以敲碎。但是当我打破石头时，我发现一个小生物突然出现并开始攻击我。它使我着火，并对我造成了一些伤害，幸运的是我很容易就杀死了它。,曾经有一次在地狱探险时，我发现了一块&1下界岩&0，它比正常的要难破坏一些。但当我破坏这个方块后，有个小生物跳了出来并开始攻击我。它把我点燃了，让我受了些轻伤，不过幸好，我没费多大力气就解决了它。
info_book.evilcraft.first_age.relics,Relics,杂项,遗物
info_book.evilcraft.first_age.relics.humanoid_flesh.text,"You might never have noticed before, but when players die they seem to drop a part of their flesh. Eating it seems to be dangerous, maybe eating it at night-time might be more safe. I wouldn’t recommend eating your own flesh though, that’s just nasty, try eating one of your friends instead!",你可能之前都没有注意到，在玩家死后会掉落一些他们的肉。吃人肉似乎很危险，在晚上吃可能更安全。不过我不建议吃你自己的肉，那太恶心了，试试你朋友的吧！,你之前可能都没注意到过，但玩家死后会掉落一块他们的肉。吃起来似乎有点危险，可能在晚上吃会更安全些。不建议吃自己的肉，这也太恶心了，还是尝尝朋友的吧！
info_book.evilcraft.first_age.relics.enchantments,Enchantments,附魔,魔咒
info_book.evilcraft.first_age.relics.enchantments.breaking.text,"&l&nCurse of Breaking&r&NThis enchantment exists in three stages, it looks like it does exactly the opposite of the Unbreaking enchant. This doesn’t seem very useful, does it? Maybe I should find a way to get rid of this.",&l&n破碎诅咒&r&N这个附魔有三个等级，它的作用和&1耐久&0完全相反。这看起来很没用，不是吗？或许我需要一种摆脱它的方法。,&l&n破碎诅咒&r&N该魔咒有三个等级，它的作用似乎与&1耐久&0魔咒完全相反。看起来没什么用，不是吗？也许我该找个法子摆脱它。
info_book.evilcraft.first_age.relics.enchantments.life_stealing.text,&l&nLife Stealing&r&NThe three stages of this enchant on offensive weapons allows you to steal parts of the life you take from others.,&l&n吸血&r&N这三个等级的附魔能让你在攻击时偷取生命。,&l&n吸血&r&N该魔咒有三个等级，拥有该魔咒的武器在攻击时，能偷取部分造成的伤害转化为生命值。
info_book.evilcraft.first_age.relics.enchantments.poison_tip.text,"&l&nPoison Tip&r&NWhen applying some poison to your weapons, you have a chance of poisoning your victims.This enchantment exists in three stages. It looks like you can make a basic version of this enchantment by adding a poisonous material to a regular book.",&l&n淬毒&r&N当你把都涂在你的武器上时，你有机会使被攻击的生物中毒。这个附魔有三个等级。你可以&1毒液桶&0和正常的&1书&0结合制造基础的淬毒附魔书。,&l&n淬毒&r&N通过在武器上涂毒，你有概率使被攻击的生物中毒。该魔咒有三个等级。似乎可以通过将一本普通的书与某种毒性材料合成，来获得基础的淬毒附魔书。
info_book.evilcraft.first_age.relics.enchantments.unusing.text,"&l&nUnusing&r&NI was getting tired of my favorite tools breaking everytime I wasn’t paying attention to them. This I why I devised a new enchantment that makes tools unusable when they are about to break, giving myself enough time to repair it to its former glory.",&l&n保险&r&N我讨厌一不小心就用坏了我心爱的工具。因此我设计了一个新的附魔，在工具快坏掉时使它们无法被使用，这样就使我有机会修复它，恢复它昔日的辉煌。,&l&n保险&r&N我受够了心爱的工具总在疏忽间彻底损毁。因此我设计出了一种新魔咒，它能使工具在濒临损坏时变得无法使用，从而给我足够的时间将其修复如初。
info_book.evilcraft.first_age.relics.enchantments.vengeance.text,&l&nCurse of Vengeance&r&NTools with this enchanment will spawn Vengeance Spirits when used.,&l&n复仇诅咒&r&N当有这个附魔的工具在使用时会召唤复仇之魂。,&l&n复仇诅咒&r&N使用拥有该魔咒的工具时，会生成复仇之魂。
info_book.evilcraft.first_age.items.dark_tank,Dark Tank,暗黑液体罐,暗黑流体罐
info_book.evilcraft.first_age.items.dark_tank.text1,"Using some &1Iron&0, &1Dark Gems&0 and a piece of &1Glass&0, it is possible to construct a strong container that is able to hold fluids. It is possible to place these tanks somewhere, or hold them in your inventory.",使用一些&1铁&0，&1暗黑宝石&0和一块&1玻璃&0，就能制造一个容纳液体的强大容器，可以放置或者放在背包里。,用一些&1铁&0、&1暗黑宝石&0以及一块&1玻璃&0，就能制造出一个能够容纳流体的坚固容器。其可以放置在世界中，也可以在物品栏里随身携带。
info_book.evilcraft.first_age.items.dark_tank.text2,"When it is placed somewhere, you can right-click which gives it a purple-ish glow, and it seems to open up a hole at the bottom of the tank which is able to automatically fill tanks, item containers and players carrying containers underneath it.",当放置后，可以右击使它散发紫色的光辉，似乎在容器底部产生了一个洞，这使它可以自动填充在它下面的容器，物品，或者附近玩家携带的容器。,放置后，可以右击使它散发紫色的光辉，这似乎在其底部打开了一个洞，使它可以自动填充其下方的流体容器，物品形式的流体容器，或者玩家携带的流体容器。
info_book.evilcraft.first_age.items.dark_tank.text3,Shift + right-clicking with the tank in your hand and not aiming at a block (because you know you will just place the tank down if you would do so) will enable a special mode to make it automatically try to fill any container you are currently holding if it can accept that fluid.,对着空气Shift + 右击手中的储罐，它就会开启自动补给模式，自动补满当前持有的容器。,使用流体罐对着空气Shift右击（毕竟如果对着方块就会直接放置下来），将激活自动补给模式，自动填充当前持有的流体容器。
info_book.evilcraft.first_age.items.dark_tank.text4,"It looks like it can hold about sixteen buckets. If that is too limiting for you, these tanks seem to be expandable by placing multiple ones inside a crafting table, no fluids seem to go lost in this process.",它似乎可以容纳16桶液体。如果这对你来说还是太少，它们似乎可以通过工作台叠加合成增加容量，并且在这个过程中液体不会丢失。,它似乎可以容纳16桶流体。如果这对你来说还是太少，它们似乎可以通过工作台叠加合成增加容量，并且流体在这个过程中不会丢失。
info_book.evilcraft.first_age.items.dark_spike,Spikes,针管,尖刺
info_book.evilcraft.first_age.items.dark_spike.text,"Using a &1Dark Gem&0 and a piece of &1Iron&0, I was able to create very sharp and durable &1Spikes&0. Mobs don't seem to like them very much...",使用一个&1暗黑宝石&0和一块&1铁&0，我制造了非常锋利的&1针管&0。小怪物们似乎并不喜欢这个东西……,使用一个&1暗黑宝石&0和一块&1铁&0，我可以做出非常锋利且耐用的&1尖刺&0。怪物们似乎并不喜欢这个东西……
info_book.evilcraft.first_age.items.spiked_plate.text1,"Some &1Spikes&0 and a &1Plate&0 will result in a plate which will damage any mob walking over it, me and my peers don’t seem to take any damage though. The powers of the &1Dark Gem&0 seems to ensure killing mobs in this process to drop the same things when killed by any player.",用一些&1针管&0和一个&1测压板&0就能制造钉刺板，它会对走过的任何生物造成伤害，除了玩家。&1暗黑宝石&0的能量使得钉刺板杀死生物也会像玩家杀死生物一样，掉落同样的东西。,用一些&1尖刺&0和一个&1压力板&0就能制造钉刺板，它会对走过的任何生物造成伤害，我和我的同类似乎不会受到伤害。&1暗黑宝石&0的力量使得以此法杀死的生物，会掉落与玩家击杀时相同的掉落物。
info_book.evilcraft.first_age.items.spiked_plate.text2,"For your convenience, they also give off a redstone signal when a mob is taking damage.",为了使用方便，在对生物造成伤害的时候它会产生红石信号。,为了使用方便，钉刺板对生物造成伤害时会发出红石信号。
info_book.evilcraft.first_age.items.spikey_claws.text1,"Nothing is more annoying than swapping tools around when trying to break blocks, and the suddenly having to fight incoming mobs.",没什么比挖掘时切换工具和怪物战斗更烦人了。,最烦的莫过于来回切换用于挖掘方块和抵御来袭怪物的工具了。
info_book.evilcraft.first_age.items.spikey_claws.text2,"Combining some &1Spikes&0 allows you to break almost all soft materials very quickly. At the same time, any mobs that come creeping by can also be attacked with sufficient power.",将一些&1针管&0 组合成工具可以让你快速破坏几乎所有的柔软方块。同时，任何想要偷袭的怪物都会受到足够的伤害。,将一些&1尖刺&0组合成工具可以让你快速破坏几乎所有的柔软方块。同时，也可对任何想要偷袭的怪物造成可观的伤害。
info_book.evilcraft.first_age.items.potentia_sphere,Potentia Sphere,神秘球,潜能球
info_book.evilcraft.first_age.items.potentia_sphere.text,"Combining several shiny mundane items will result in a sphere that seems to possess some awesome powers, I might discover a way to harness these powers in the near future. It looks like the power can be inverted by using some &1Dark Gems&0.",和几个普通物品结合就会诞生一个拥有神奇能量的球，我以后应该能发现使用这种能量的方法。这种能量好像可以用一些&1暗黑宝石&0来转化。,将一些闪闪发光的寻常物品结合，就会诞生一个拥有神奇能量的球，也许不久之后，我就能找到使用这种能量的方法。似乎可以用一些&1暗黑宝石&0来反转这种能量。
info_book.evilcraft.first_age.items.dull_dust.text,"Combining some &1Sugar&0 and &1Gunpowder&0 will result in a weird dust that doesn’t seem to be very useful at the moment, hence the name. Although this might change one day.",用一些&1糖&0和&1火药&0结合，就能制作一些奇怪的粉末，目前看起来毫无用处，所以命名为暗尘。可能以后会有所改变。,将一些&1糖&0和&1火药&0结合，就能制作出一种古怪的粉末，目前看起来毫无用处，所以命名为暗尘。可能以后会有所改变。
info_book.evilcraft.first_age.items.obscured_glass,Obscured Glass,毛玻璃,阻光玻璃
info_book.evilcraft.first_age.items.obscured_glass.text,"Some people might find regular &1Glass&0 too bright. Combining some glass with a &1Dark Gem&0 seems to make a special type of glass that almost completely reduces the amount of light that gets through. I am still able to look through the glass though, very strange...",有人觉得普通&1玻璃&0太亮了。结合一个&1暗黑宝石&0就会形成一种几乎完全减少光线通过的毛玻璃。但是我还是能通过玻璃看东西，好奇怪……,有人可能觉得普通的&1玻璃&0太亮了。将一些玻璃与一个&1暗黑宝石&0结合，就能制作出一种几乎能完全阻挡光线通过的特殊玻璃。但是我还是能通过玻璃看到东西，真是奇怪……
info_book.evilcraft.first_age.items.exalted_crafter,Exalted Crafter,合成包,崇高合成包
info_book.evilcraft.first_age.items.exalted_crafter.text1,"Crafting tables can be inconvenient sometimes when at remote locations. It looks like the &1Crushed Dark Gems&0 give the power to craft things from within your inventory! Attaching some kind of chest to it gives an easy internal inventory, even your &1Ender Chest&0 seems to work. Power users might be happy with this item, since it can be bound to a hotkey. Using that same hotkey when the gui is open will clear your inventory, and using the hotkey with shift will balance all the items currently inside the grid. There is a toggle button available that allows you to switch between the return targets when shift-removing items from the crafting grid, you can choose between either the inner item inventory or your player inventory.",有时在遥远的地方，合成台并不在身边。 而&1暗黑宝石粉&0可以赋予你在物品栏合成的方法！和箱子合成来获得一些简单的内部空间，甚至是&1末影箱&0 看起来也可以工作。可以绑定热键。在合成包的界面，使用相同的热键就可以把正在合成的物品拿到玩家背包，按住Shift在使用热键就能把合成栏的物品平均起来。合成包界面有一个切换按钮可以切换返还物品的模式，你可以在内置储存和玩家背包之间切换。,身处偏远之地时，传统工作台就不怎么方便了。但&1暗黑宝石粉&0似乎能赋予直接在物品栏中合成的能力！将其与箱子合成，便可获得便捷的内部存储空间，甚至&1末影箱&0也可以。高级用户可能会喜欢该物品，因为可通过绑定快捷键直接打开。在GUI中使用相同的快捷键，可清空合成方格内所有物品；按住Shift+快捷键，可自动均衡分配网格内现有物品。通过GUI中的切换按钮，可设定从合成方格中按住Shift移除物品时的两种返还目标：内部存储空间或玩家物品栏。
info_book.evilcraft.first_age.items.exalted_crafter.text2,Striking it with lightning seems to make it bound to reality so that it can’t be destroyed or disappear when dropped.,被直接雷击会使它充能，这样当成为掉落物时它不会被破坏或者删除。,用闪电击中它似乎能将其与现实绑定，致使其无法被摧毁，即便被丢弃也不会消失。
info_book.evilcraft.first_age.items.display_stand.text1,"This small block can showcase your favorite items and blocks. It seems to support any wood type, and it can be placed with any rotation you want. You can pipe items in and out from the bottom or the top.",这个小方块能展示你最喜欢的物品和方块。它看起来支持任何种类的木头，且能被你以任何角度放置。,这个小方块能展示你最爱的物品和方块。似乎能用所有种类的木头合成，且能以任何角度放置。可通过其顶部或底部输入输出物品。
info_book.evilcraft.first_age.items.display_stand.text2,"Interaction from all other sides of the block will be delegated to the item itself, so you can interact with its inventory, fluids, energy, ...",任何其他面的交互都会对展示的物体生效，所以你可以用物品，流体，能量来与其交互……,任何通过其他面进行的交互都会对展示的物品生效，因此你可以与其物品栏、流体、能量互动……
info_book.evilcraft.first_age.vengeance_spirits.introduction.text1,"Other people find it strange, but I always watch closely when beasts die. I noticed that they mostly give off some strange dark-purple aura which quickly fades again.",你可能觉得这很奇怪，但是我一直在野兽死时认真观察。我注意到它们几乎都会放出很快消失的奇怪暗紫色的光环。,其他人觉得这很奇怪，但我经常近距离观察生物的死亡。我注意到它们几乎都会释放出一种很快便会消失的奇怪深紫色灵气。
info_book.evilcraft.first_age.vengeance_spirits.introduction.text2,"I noticed that I can use some of the &1Crushed Dark Gem&0 to construct a ring which allows me to fully see those auras of the mobs I kill, though it looks like they can see me as well. They always try to follow me and when they touch me they do some minor damage after which they dissolve into thin air.",我发现我可以使用&1暗能宝石粉&0制作一个指环，这让我能清楚的看到怪物的死亡，但是它们好像也能看见我。它们会试图跟着我，和我接触，当然这会有一点轻微的伤害，之后它们便烟消云散了。,我注意到可以使用一些&1暗黑宝石粉&0来制作一枚指环，使我能够完全观测到所击杀生物的灵气，不过似乎也会让它们察觉到我。它们总是试图跟着我，当接触到我时，会造成些许伤害，随后便消散于无形之中。
info_book.evilcraft.first_age.vengeance_spirits.introduction.text3,"Activating the ring gives me some amazing powers but this seems to attract and anger some spirits, although most of these spirits are unrecognisable for some reason...",激活这个指环给予我惊人的力量，但是似乎会吸引一些激怒的灵魂，虽然大多数的这些灵魂都已经因为某些原因无法辨认了……,激活这枚指环会给予我一些有趣的能力，但似乎也会吸引并激怒某些灵魂，尽管它们不知为何大多无法辨识其形貌……
info_book.evilcraft.first_age.vengeance_spirits.catching_spirits.text1,"On some of my adventures I discovered some strange purple boxes which contained some distorted spirits. It looks like these spirits were captured a long time ago and have since been degrading, I don’t think they can be restored to their original state though.",在我的冒险旅途中我发现了一些装有扭曲灵魂的奇怪的紫色箱子。看起来这些灵魂被捕获很久了，到现在已经面目全非，我觉得他们不可能恢复到原来的样子了。,在冒险途中，我发现了一些封存着扭曲灵魂的奇特紫色箱子。这些灵魂似乎遭禁锢已久，状态从那时起便一直在恶化，我不认为它们还能恢复原状。
info_book.evilcraft.first_age.vengeance_spirits.catching_spirits.text2,"I was able to reverse-engineer these boxes to be able to craft them myself. In this process, I also discovered how to freeze spirits so that they can be absorbed by these boxes. I enhanced the &1Vengeance Ring&0 with this technology to make a &1Vengeance Focus&0 that can be used to target spirits and catch them. Maybe I can use these contained spirits for something later...",我研究了这些箱子，并学会了制造它们的技术。在这个过程中，我发现了如何封印灵魂并使它们被这些箱子吸收。我用这种技术增强了&1复仇指环&0来制造&1复仇之焦&0 。它可以聚焦到灵魂上，这样就能抓住他们。也许我以后能使用这些含有灵魂的东西……,通过逆向工程，我现在可以自己制作这些箱子了。在此过程中，我还发现了冻结灵魂，使其能够被这些箱子吸收的方法。我利用这种技术强化了&1复仇指环&0，将其改造为能够锁定并捕获灵魂的&1复仇聚焦核心&0。也许之后能用这些被收容的灵魂做些什么……
info_book.evilcraft.first_age.vengeance_spirits.spirit_protection,Spirit Protection,驱赶灵魂,灵魂防护
info_book.evilcraft.first_age.vengeance_spirits.spirit_protection.text1,"These spirits can do some nasty damage if you’re not careful. I noticed that these spirits seem to be annoyed by &1Dark Gems&0, but they still ignore feeling that if they see you. The power of fire and a larger amount of &1Dark Gems&0 seems to change the way the spirits attack you though. Instead of taking damage, you will now only be a bit more hungry, which might be better than the alternative.",如果不小心的话，这些灵魂会造成一些烦人的伤害。我注意到这些灵魂会被&1暗黑宝石&0激怒，但如果看到了你，它们会无视那些感觉。火和大量的&1暗黑宝石&0的力量看起来可以改变灵魂攻击你的方式。你现在只是有点饿，而不是受到伤害，这应该是个更好的选择。,稍不留神，这些灵魂就会对你造成一些烦人的伤害。我发现灵魂似乎会被&1暗黑宝石&0激怒，然而一旦发现你，它们还是会无视这种感觉发动攻击。不过，利用大量的&1暗黑宝石&0和火焰的力量，似乎能改变灵魂的攻击方式。原本的伤害会被转化为略微增加的饥饿感，这或许比直接受伤要好一些。
info_book.evilcraft.first_age.vengeance_spirits.spirit_protection.text2,"A completely different alternative to spirit protection, is to simply make yourself invisible to these spirits. It looks like the &1Spectral Glasses&0 allow you to see any spirit without them being able to see you, unless they were already out for your soul. This does however require some otherwordly material to craft, maybe I'll come across it later.",一个完全不同的驱赶灵魂的选择，就是让这些灵魂看不到你，看起来&1幽冥眼镜&0可以让你看到灵魂世界而不让它们看到你，除非他们已经出去找你的灵魂。然而，这需要一些其他材料来制作，也许我以后会遇到它。,另一种完全不同的防护方式，是直接让自己对灵魂隐形。&1幽冥眼镜&0似乎能让你看见所有灵魂，同时避免被其察觉，除非它们已经锁定了你的灵魂。不过这需要某种异界材料才能制作，或许以后能找到。
info_book.evilcraft.second_age.blood_extraction,Blood Extraction,血液提取器,血液提取
info_book.evilcraft.second_age.blood_extraction.text1,"Using some &1Spikes&0, I was able to make a simple utility to obtain some &4Blood&0 from various places. When killing certain beasts, this item will fill up with &4Blood&0 when it is somewhere within your inventory. Sometimes you might come across some &4Blood&0 stains on the ground, a simple shift + right click will put some of the &4Blood&0 in your extractor. These &4Blood&0 stains seem to form when something falls to death from a great height, this might come in handy one day...",使用&1针管&0，我能简单地从各个地方获取&4血液&0。当杀死一些野兽且血液提取器在背包中时，此物品将被装入&4血液&0。有时你可能会遇到一些地上的&4血迹&0，简单地Shift+右击将提取一些&4血液&0到你的提取器。这些&4血迹&0看起来是什么东西从高处摔死形成的，可能有一天这会派上用场。,使用一些&1尖刺&0，我可以做出一个能从多种地方获取&4血液&0的简易工具。杀死特定生物时，位于物品栏的该物品便会填充&4血液&0。有时你可能会在地上发现一些&4血迹&0，使用血液提取器Shift右击即可将一些&4血液&0装填到提取器里。这些&4血液&0痕迹似乎是什么东西从高处摔死形成的，之后也许能派上用场……
info_book.evilcraft.second_age.blood_extraction.text2,A simple right click with this item will place one bucket of &4Blood&0 on the ground.,右击将在地上放置一桶&4血液&0。,使用该物品右击即可在地上放置一桶&4血液&0。
info_book.evilcraft.second_age.blood_extraction.text3,This will be useful until I find some less manual ways to get my hands on some &4Blood&0.,在我找到一些自动获取&4血液&0的方式之前这将是有用的。,在找到更省事的&4血液&0获取方式之前，这西还算有用。
info_book.evilcraft.second_age.blood_extraction.text4,"By default, the size of these extractors are a bit limited. But it looks like I can just combine multiple &1Blood Extractors&0 inside a crafting grid to increase the capacity, it can even be combined with &1Dark Tanks&0 for even more storage capacity.",默认情况下，这些提取器的大小有限制。但是看起来我可以将多个&1血液提取器&0放在一起进行合成以提高容量，甚至可以与&1暗黑液体罐&0结合以获得更多的存储容量。,默认情况下，提取器的容量不是很大。不过似乎在合成方格中将多个&1血液提取器&0组合在一起就能提升容量，甚至还能与&1暗黑流体罐&0结合，从而进一步提高容量。
info_book.evilcraft.second_age.powers_of_blood,The Powers of Blood,血的力量,血液的力量
info_book.evilcraft.second_age.powers_of_blood.text1,"Everyone knows that &4Blood&0 is a key element of every living being. Combining the magical properties of &1Dark Gems&0 and the vitalizing &4Blood&0 allowed me to come up with some really amazing new tools and machines. Some of my peers say I’m a bit too enthusiastic about this discovery, I guess they’re not open-minded enough.",所有人都知道&4血液&0是生物生存的关键要素，将赋予生命的&4血液&0和魔法般的&1暗黑宝石&0结合，我做出了一些让人震惊的新工具和机器。有人说我太热衷于这项发现了，但是我觉得他们太过于守旧。,众所周知，&4血液&0是所有生命的关键要素。通过结合&1暗黑宝石&0的魔法特性与充满生命力的&4血液&0，我成功制作出了一些令人惊叹的新工具和装置。部分同类认为我对此发现过于狂热，我猜只是他们的思维还不够开阔。
info_book.evilcraft.second_age.powers_of_blood.text3,"As we all know, &4Blood&0 will dry out after a while when it is in a dry area. Breaking the &1Hardened Blood&0 with a pickaxe or your fists will turn it into regular &4Blood&0 again. Breaking such &1Hardened Blood&0 with &1Flint and Steel&0 will give some &1Hardened Blood Shards&0 which might come in handy later on. It looks like these shards can also be obtained when cooking such a &1Hardened Blood&0 block, if you can obtain it in some way ... maybe a soft touch can help?",大家都知道，&4血液&0会在干燥的环境下很快干枯。在这些&1血块&0上使用&1打火石&0就能得到&1干血碎片&0，它将会派上用场。似乎&1血块&0可以直接烧出&1干血碎片&0，你可以用其他的方式获得&1血块&0……似乎使用&4精准采集&0就能获得血块,众所周知，&4血液&0在干燥环境中放置一段时间后会逐渐干涸。使用镐或徒手破坏&1硬化血液&0会使其重新变为普通的&4血液&0。而用&1打火石&0破坏这种&1硬化血液&0则会掉落一些&1硬化血液碎片&0，这些碎片日后或许能派上用场。烧炼&1硬化血液&0似乎也能获得碎片，如果你有办法获取它的话……或许精准采集能奏效？
